"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Bondowoso";"23608";"2915";"April 2019"
"Gresik";"471777";"4078";"April 2019"
"Jember";"330";"0";"April 2019"
"Jombang";"191247";"0";"April 2019"
"Kediri";"223991";"32";"April 2019"
"Lamongan";"318071";"22";"April 2019"
"Lumajang";"79209";"291";"April 2019"
"Madiun";"29074";"0";"April 2019"
"Magetan";"86251";"0";"April 2019"
"Malang";"608076";"4656";"April 2019"
"Mojokerto";"171446";"74";"April 2019"
"Nganjuk";"32774";"0";"April 2019"
"Ngawi";"52986";"3";"April 2019"
"Pacitan";"80903";"118";"April 2019"
"Pamekasan";"23672";"0";"April 2019"
"Pasuruan";"213558";"370";"April 2019"
"Ponorogo";"42955";"15";"April 2019"
"Probolinggo";"70173";"2743";"April 2019"
"Sampang";"34579";"0";"April 2019"
"Sidoarjo";"135044";"283";"April 2019"
"Situbondo";"49190";"98";"April 2019"
"Sumenep";"154667";"80";"April 2019"
"Trenggalek";"54217";"0";"April 2019"
"Tuban";"813854";"373";"April 2019"
"Tulungagung";"79313";"6";"April 2019"
"Kota Batu";"532131";"654";"April 2019"
"Kota Blitar";"146305";"58";"April 2019"
"Kota Kediri";"14220";"6";"April 2019"
"Kota Madiun";"3261";"0";"April 2019"
"Kota Malang";"235472";"326";"April 2019"
"Kota Mojokerto";"8258";"0";"April 2019"
"Kota Pasuruan";"6881";"24";"April 2019"
"Kota Probolinggo";"106101";"171";"April 2019"
"Kota Surabaya";"872366";"5098";"April 2019"
"";"";"";"April 2019"
"Bangkalan";"136036";"0";"Mei 2019"
"Banyuwangi";"334959";"7653";"Mei 2019"
"Blitar";"166177";"45";"Mei 2019"
"Bojonegoro";"152159";"1";"Mei 2019"
"Bondowoso";"35670";"2102";"Mei 2019"
"Gresik";"129939";"2140";"Mei 2019"
"Jember";"915";"2";"Mei 2019"
"Jombang";"64213";"0";"Mei 2019"
"Kediri";"166536";"36";"Mei 2019"
"Lamongan";"112757";"50";"Mei 2019"
"Lumajang";"23166";"139";"Mei 2019"
"Madiun";"14550";"0";"Mei 2019"
"Magetan";"67769";"0";"Mei 2019"
"Malang";"302999";"4814";"Mei 2019"
"Mojokerto";"55603";"87";"Mei 2019"
"Nganjuk";"26397";"0";"Mei 2019"
"Ngawi";"25863";"3";"Mei 2019"
"Pacitan";"38706";"46";"Mei 2019"
"Pamekasan";"14016";"0";"Mei 2019"
"Pasuruan";"183870";"328";"Mei 2019"
"Ponorogo";"32475";"10";"Mei 2019"
"Probolinggo";"23403";"2713";"Mei 2019"
"Sampang";"248269";"0";"Mei 2019"
"Sidoarjo";"115643";"246";"Mei 2019"
"Situbondo";"36240";"125";"Mei 2019"
"Sumenep";"29260";"26";"Mei 2019"
"Trenggalek";"17454";"0";"Mei 2019"
"Tuban";"147080";"228";"Mei 2019"
"Tulungagung";"32016";"0";"Mei 2019"
"Kota Batu";"222472";"154";"Mei 2019"
"Kota Blitar";"44732";"69";"Mei 2019"
"Kota Kediri";"8516";"0";"Mei 2019"
"Kota Madiun";"1969";"0";"Mei 2019"
"Kota Malang";"223319";"491";"Mei 2019"
"Kota Mojokerto";"9288";"0";"Mei 2019"
"Kota Pasuruan";"4708";"3";"Mei 2019"
"Kota Probolinggo";"47693";"24";"Mei 2019"
"Kota Surabaya";"454170";"3830";"Mei 2019"
"Bangkalan";"162298";"12";"Juni 2019"
"Banyuwangi";"452806";"15739";"Juni 2019"
"Blitar";"355631";"52";"Juni 2019"
"Bojonegoro";"174903";"0";"Juni 2019"
"Bondowoso";"52061";"5225";"Juni 2019"
"Gresik";"405547";"6530";"Juni 2019"
"Jember";"142485";"128";"Juni 2019"
"Jombang";"18781";"0";"Juni 2019"
"Kediri";"355585";"20";"Juni 2019"
"Lamongan";"281338";"27";"Juni 2019"
"Lumajang";"451430";"969";"Juni 2019"
"Madiun";"49377";"0";"Juni 2019"
"Magetan";"194427";"0";"Juni 2019"
"Malang";"768485";"16722";"Juni 2019"
"Mojokerto";"279586";"305";"Juni 2019"
"Nganjuk";"77122";"0";"Juni 2019"
"Ngawi";"219280";"0";"Juni 2019"
"Pacitan";"366710";"0";"Juni 2019"
"Pamekasan";"38191";"0";"Juni 2019"
"Pasuruan";"284198";"370";"Juni 2019"
"Ponorogo";"241723";"56";"Juni 2019"
"Probolinggo";"85851";"5192";"Juni 2019"
"Sampang";"129307";"0";"Juni 2019"
"Sidoarjo";"147359";"325";"Juni 2019"
"Situbondo";"95910";"72";"Juni 2019"
"Sumenep";"255707";"176";"Juni 2019"
"Trenggalek";"116232";"0";"Juni 2019"
"Tuban";"583785";"127";"Juni 2019"
"Tulungagung";"197300";"9";"Juni 2019"
"Kota Batu";"734612";"277";"Juni 2019"
"Kota Blitar";"140674";"110";"Juni 2019"
"Kota Kediri";"15216";"9";"Juni 2019"
"Kota Madiun";"5054";"0";"Juni 2019"
"Kota Malang";"282784";"827";"Juni 2019"
"Kota Mojokerto";"20849";"0";"Juni 2019"
"Kota Pasuruan";"7513";"5";"Juni 2019"
"Kota Probolinggo";"113095";"84";"Juni 2019"
"Kota Surabaya";"920733";"2830";"Juni 2019"
"";"";"";"Juni 2019"
"Bangkalan";"113488";"12";"Juli 2019"
"Banyuwangi";"453536";"6979";"Juli 2019"
"Blitar";"270376";"100";"Juli 2019"
"Bojonegoro";"66732";"206";"Juli 2019"
"Bondowoso";"51656";"975";"Juli 2019"
"Gresik";"367117";"1148";"Juli 2019"
"Jember";"135359";"120";"Juli 2019"
"Jombang";"144912";"2";"Juli 2019"
"Kediri";"979183";"97";"Juli 2019"
"Lamongan";"287009";"16";"Juli 2019"
"Lumajang";"76894";"1552";"Juli 2019"
"Madiun";"38770";"0";"Juli 2019"
"Magetan";"129903";"0";"Juli 2019"
"Malang";"862705";"7446";"Juli 2019"
"Mojokerto";"164494";"181";"Juli 2019"
"Nganjuk";"43183";"0";"Juli 2019"
"Ngawi";"69192";"0";"Juli 2019"
"Pacitan";"191114";"0";"Juli 2019"
"Pamekasan";"42337";"0";"Juli 2019"
"Pasuruan";"268083";"543";"Juli 2019"
"Ponorogo";"53947";"0";"Juli 2019"
"Probolinggo";"188073";"5777";"Juli 2019"
"Sampang";"69677";"28";"Juli 2019"
"Sidoarjo";"149041";"240";"Juli 2019"
"Situbondo";"70392";"230";"Juli 2019"
"Sumenep";"88223";"466";"Juli 2019"
"Trenggalek";"76760";"0";"Juli 2019"
"Tuban";"661168";"98";"Juli 2019"
"Tulungagung";"152754";"0";"Juli 2019"
"Kota Batu";"589161";"1209";"Juli 2019"
"Kota Blitar";"169946";"240";"Juli 2019"
"Kota Kediri";"12532";"0";"Juli 2019"
"Kota Madiun";"3828";"0";"Juli 2019"
"Kota Malang";"427438";"948";"Juli 2019"
"Kota Mojokerto";"22030";"8";"Juli 2019"
"Kota Pasuruan";"10349";"5";"Juli 2019"
"Kota Probolinggo";"93549";"86";"Juli 2019"
"Kota Surabaya";"973785";"9299";"Juli 2019"
"Bangkalan";"245673";"7";"Agustus 2019"
"Banyuwangi";"379480";"12096";"Agustus 2019"
"Blitar";"132897";"95";"Agustus 2019"
"Bojonegoro";"58972";"206";"Agustus 2019"
"Bondowoso";"38943";"2311";"Agustus 2019"
"Gresik";"313935";"1059";"Agustus 2019"
"Jember";"101520";"90";"Agustus 2019"
"Jombang";"77854";"2";"Agustus 2019"
"Kediri";"195729";"68";"Agustus 2019"
"Lamongan";"169904";"35";"Agustus 2019"
"Lumajang";"116671";"2553";"Agustus 2019"
"Madiun";"21849";"0";"Agustus 2019"
"Magetan";"71192";"0";"Agustus 2019"
"Malang";"469137";"9391";"Agustus 2019"
"Mojokerto";"130671";"144";"Agustus 2019"
"Nganjuk";"36282";"0";"Agustus 2019"
"Ngawi";"42655";"0";"Agustus 2019"
"Pacitan";"59388";"0";"Agustus 2019"
"Pamekasan";"18601";"0";"Agustus 2019"
"Pasuruan";"233451";"695";"Agustus 2019"
"Ponorogo";"270752";"0";"Agustus 2019"
"Probolinggo";"54090";"7261";"Agustus 2019"
"Sampang";"43436";"16";"Agustus 2019"
"Sidoarjo";"143635";"238";"Agustus 2019"
"Situbondo";"43082";"254";"Agustus 2019"
"Sumenep";"71633";"187";"Agustus 2019"
"Trenggalek";"28683";"0";"Agustus 2019"
"Tuban";"297310";"106";"Agustus 2019"
"Tulungagung";"78536";"5";"Agustus 2019"
"Kota Batu";"378775";"1478";"Agustus 2019"
"Kota Blitar";"44639";"94";"Agustus 2019"
"Kota Kediri";"10149";"10";"Agustus 2019"
"Kota Madiun";"1726";"0";"Agustus 2019"
"Kota Malang";"331143";"1215";"Agustus 2019"
"Kota Mojokerto";"15077";"2";"Agustus 2019"
"Kota Pasuruan";"24731";"2";"Agustus 2019"
"Kota Probolinggo";"64366";"74";"Agustus 2019"
"Kota Surabaya";"707518";"7285";"Agustus 2019"
"Bangkalan";"206570";"35";"September 2019"
"Banyuwangi";"323955";"8439";"September 2019"
"Blitar";"72228";"68";"September 2019"
"Bojonegoro";"37579";"0";"September 2019"
"Bondowoso";"16542";"2289";"September 2019"
"Gresik";"469719";"1044";"September 2019"
"Jember";"55835";"50";"September 2019"
"Jombang";"182366";"0";"September 2019"
"Kediri";"261068";"48";"September 2019"
"Lamongan";"283711";"11";"September 2019"
"Lumajang";"167203";"1925";"September 2019"
"Madiun";"41892";"0";"September 2019"
"Magetan";"75101";"0";"September 2019"
"Malang";"551552";"40149";"September 2019"
"Mojokerto";"168065";"30";"September 2019"
"Nganjuk";"212402";"62";"September 2019"
"Ngawi";"53465";"0";"September 2019"
"Pacitan";"13833";"0";"September 2019"
"Pamekasan";"25406";"0";"September 2019"
"Pasuruan";"235539";"474";"September 2019"
"Ponorogo";"82446";"0";"September 2019"
"Probolinggo";"50989";"4597";"September 2019"
"Sampang";"38679";"41";"September 2019"
"Sidoarjo";"98717";"204";"September 2019"
"Situbondo";"45847";"213";"September 2019"
"Sumenep";"93471";"462";"September 2019"
"Trenggalek";"39579";"0";"September 2019"
"Tuban";"743025";"113";"September 2019"
"Tulungagung";"97042";"0";"September 2019"
"Kota Batu";"364243";"1821";"September 2019"
"Kota Blitar";"178712";"136";"September 2019"
"Kota Kediri";"13912";"0";"September 2019"
"Kota Madiun";"2386";"0";"September 2019"
"Kota Malang";"277867";"1659";"September 2019"
"Kota Mojokerto";"15048";"0";"September 2019"
"Kota Pasuruan";"8180";"2";"September 2019"
"Kota Probolinggo";"63907";"90";"September 2019"
"Kota Surabaya";"908168";"2743";"September 2019"
"Bangkalan";"228154";"26";"Oktober 2019"
"Banyuwangi";"338368";"6464";"Oktober 2019"
"Blitar";"163148";"67";"Oktober 2019"
"Bojonegoro";"58126";"3";"Oktober 2019"
"Bondowoso";"27933";"193";"Oktober 2019"
"Gresik";"15684";"4130";"Oktober 2019"
"Jember";"58626";"52";"Oktober 2019"
"Jombang";"163413";"0";"Oktober 2019"
"Kediri";"299318";"158";"Oktober 2019"
"Lamongan";"168039";"19";"Oktober 2019"
"Lumajang";"69788";"653";"Oktober 2019"
"Madiun";"29531";"0";"Oktober 2019"
"Magetan";"71452";"0";"Oktober 2019"
"Malang";"1174103";"14076";"Oktober 2019"
"Mojokerto";"186238";"13";"Oktober 2019"
"Nganjuk";"50051";"0";"Oktober 2019"
"Ngawi";"45191";"0";"Oktober 2019"
"Pacitan";"153187";"58";"Oktober 2019"
"Pamekasan";"23404";"0";"Oktober 2019"
"Pasuruan";"190926";"3040";"Oktober 2019"
"Ponorogo";"53978";"0";"Oktober 2019"
"Probolinggo";"69540";"5085";"Oktober 2019"
"Sampang";"35870";"58";"Oktober 2019"
"Sidoarjo";"99422";"170";"Oktober 2019"
"Situbondo";"42787";"178";"Oktober 2019"
"Sumenep";"97103";"22";"Oktober 2019"
"Trenggalek";"46889";"0";"Oktober 2019"
"Tuban";"527286";"253";"Oktober 2019"
"Tulungagung";"123697";"0";"Oktober 2019"
"Kota Batu";"480647";"1706";"Oktober 2019"
"Kota Blitar";"171674";"123";"Oktober 2019"
"Kota Kediri";"14581";"0";"Oktober 2019"
"Kota Madiun";"2227";"0";"Oktober 2019"
"Kota Malang";"270824";"1494";"Oktober 2019"
"Kota Mojokerto";"20855";"0";"Oktober 2019"
"Kota Pasuruan";"18462";"4";"Oktober 2019"
"Kota Probolinggo";"75132";"99";"Oktober 2019"
"Kota Surabaya";"594967";"3348";"Oktober 2019"
"Bangkalan";"223159";"7";"November 2019"
"Banyuwangi";"330300";"15315";"November 2019"
"Blitar";"172120";"39";"November 2019"
"Bojonegoro";"109686";"0";"November 2019"
"Bondowoso";"32917";"124";"November 2019"
"Gresik";"875550";"2287";"November 2019"
"Jember";"76217";"68";"November 2019"
"Jombang";"141507";"0";"November 2019"
"Kediri";"281072";"12";"November 2019"
"Lamongan";"181535";"22";"November 2019"
"Lumajang";"38774";"122";"November 2019"
"Madiun";"98155";"0";"November 2019"
"Magetan";"78460";"0";"November 2019"
"Malang";"531733";"8287";"November 2019"
"Mojokerto";"186716";"20";"November 2019"
"Nganjuk";"28606";"0";"November 2019"
"Ngawi";"46971";"0";"November 2019"
"Pacitan";"195322";"12";"November 2019"
"Pamekasan";"20410";"0";"November 2019"
"Pasuruan";"209881";"3121";"November 2019"
"Ponorogo";"66094";"0";"November 2019"
"Probolinggo";"54999";"1764";"November 2019"
"Sampang";"53785";"0";"November 2019"
"Sidoarjo";"98618";"153";"November 2019"
"Situbondo";"57850";"88";"November 2019"
"Sumenep";"112524";"7";"November 2019"
"Trenggalek";"67522";"0";"November 2019"
"Tuban";"683460";"166";"November 2019"
"Tulungagung";"158558";"0";"November 2019"
"Kota Batu";"427390";"271";"November 2019"
"Kota Blitar";"183145";"152";"November 2019"
"Kota Kediri";"12600";"0";"November 2019"
"Kota Madiun";"6190";"0";"November 2019"
"Kota Malang";"296132";"1346";"November 2019"
"Kota Mojokerto";"22039";"7";"November 2019"
"Kota Pasuruan";"27054";"11";"November 2019"
"Kota Probolinggo";"101230";"22";"November 2019"
"Kota Surabaya";"807141";"3159";"November 2019"
"Bangkalan";"235403";"4";"Desember 2019"
"Banyuwangi";"320586";"191774";"Desember 2019"
"Blitar";"370887";"44";"Desember 2019"
"Bojonegoro";"6233";"0";"Desember 2019"
"Bondowoso";"65569";"4611";"Desember 2019"
"Gresik";"540455";"2573";"Desember 2019"
"Jember";"78533";"0";"Desember 2019"
"Jombang";"87648";"0";"Desember 2019"
"Kediri";"478981";"17";"Desember 2019"
"Lamongan";"251862";"17";"Desember 2019"
"Lumajang";"224671";"948";"Desember 2019"
"Madiun";"113654";"0";"Desember 2019"
"Magetan";"131003";"0";"Desember 2019"
"Malang";"960726";"7412";"Desember 2019"
"Mojokerto";"201598";"15";"Desember 2019"
"Nganjuk";"33380";"0";"Desember 2019"
"Ngawi";"48649";"0";"Desember 2019"
"Pacitan";"440925";"49";"Desember 2019"
"Pamekasan";"17974";"0";"Desember 2019"
"Pasuruan";"220777";"3476";"Desember 2019"
"Ponorogo";"96321";"0";"Desember 2019"
"Probolinggo";"57510";"1703";"Desember 2019"
"Sampang";"97513";"0";"Desember 2019"
"Sidoarjo";"99485";"166";"Desember 2019"
"Situbondo";"102015";"42";"Desember 2019"
"Sumenep";"141530";"3";"Desember 2019"
"Trenggalek";"116263";"0";"Desember 2019"
"Tuban";"956331";"214";"Desember 2019"
"Tulungagung";"243610";"0";"Desember 2019"
"Kota Batu";"1003806";"1478";"Desember 2019"
"Kota Blitar";"197881";"150";"Desember 2019"
"Kota Kediri";"13250";"0";"Desember 2019"
"Kota Madiun";"9090";"0";"Desember 2019"
"Kota Malang";"428912";"1468";"Desember 2019"
"Kota Mojokerto";"15282";"2";"Desember 2019"
"Kota Pasuruan";"25575";"5";"Desember 2019"
"Kota Probolinggo";"107936";"160";"Desember 2019"
"Kota Surabaya";"22832";"189";"Desember 2019"
"";"";"";"Desember 2019"
"";"";"";"Desember 2019"
"Bangkalan";"403507";"4";"Januari 2020"
"Banyuwangi";"772848";"1715";"Januari 2020"
"Blitar";"323441";"0";"Januari 2020"
"Bojonegoro";"68604";"15";"Januari 2020"
"Bondowoso";"67999";"982";"Januari 2020"
"Gresik";"417164";"340";"Januari 2020"
"Jember";"19883";"0";"Januari 2020"
"Jombang";"119292";"5";"Januari 2020"
"Kediri";"356228";"12";"Januari 2020"
"Lamongan";"229592";"235";"Januari 2020"
"Lumajang";"295124";"10";"Januari 2020"
"Madiun";"56399";"0";"Januari 2020"
"Magetan";"122849";"0";"Januari 2020"
"Malang";"157856";"2788";"Januari 2020"
"Mojokerto";"117415";"0";"Januari 2020"
"Nganjuk";"46895";"0";"Januari 2020"
"Ngawi";"144622";"0";"Januari 2020"
"Pacitan";"272643";"1";"Januari 2020"
"Pamekasan";"6468";"5";"Januari 2020"
"Pasuruan";"342406";"345";"Januari 2020"
"Ponorogo";"101186";"31";"Januari 2020"
"Probolinggo";"118677";"1681";"Januari 2020"
"Sampang";"7093";"0";"Januari 2020"
"Sidoarjo";"169161";"1376";"Januari 2020"
"Situbondo";"137627";"1";"Januari 2020"
"Sumenep";"116805";"14";"Januari 2020"
"Trenggalek";"109271";"10";"Januari 2020"
"Tuban";"619239";"11";"Januari 2020"
"Tulungagung";"127273";"28";"Januari 2020"
"Kota Batu";"505709";"658";"Januari 2020"
"Kota Blitar";"144211";"47";"Januari 2020"
"Kota Kediri";"9721";"46";"Januari 2020"
"Kota Madiun";"26244";"280";"Januari 2020"
"Kota Malang";"302550";"2761";"Januari 2020"
"Kota Mojokerto";"31670";"316";"Januari 2020"
"Kota Pasuruan";"35827";"608";"Januari 2020"
"Kota Probolinggo";"111606";"488";"Januari 2020"
"Kota Surabaya";"898033";"20895";"Januari 2020"
"Bangkalan";"92875";"6";"Februari 2020"
"Banyuwangi";"424879";"1524";"Februari 2020"
"Blitar";"157767";"0";"Februari 2020"
"Bojonegoro";"30051";"0";"Februari 2020"
"Bondowoso";"28225";"377";"Februari 2020"
"Gresik";"278765";"321";"Februari 2020"
"Jember";"8989";"28";"Februari 2020"
"Jombang";"82805";"13";"Februari 2020"
"Kediri";"227965";"21";"Februari 2020"
"Lamongan";"175221";"304";"Februari 2020"
"Lumajang";"119620";"30";"Februari 2020"
"Madiun";"25784";"0";"Februari 2020"
"Magetan";"42286";"0";"Februari 2020"
"Malang";"109664";"2748";"Februari 2020"
"Mojokerto";"64970";"0";"Februari 2020"
"Nganjuk";"21793";"0";"Februari 2020"
"Ngawi";"37551";"0";"Februari 2020"
"Pacitan";"113582";"1";"Februari 2020"
"Pamekasan";"2635";"3";"Februari 2020"
"Pasuruan";"282267";"289";"Februari 2020"
"Ponorogo";"63033";"49";"Februari 2020"
"Probolinggo";"51214";"754";"Februari 2020"
"Sampang";"6344";"0";"Februari 2020"
"Sidoarjo";"149830";"1280";"Februari 2020"
"Situbondo";"30610";"0";"Februari 2020"
"Sumenep";"90948";"2";"Februari 2020"
"Trenggalek";"41427";"1";"Februari 2020"
"Tuban";"463254";"10";"Februari 2020"
"Tulungagung";"48957";"23";"Februari 2020"
"Kota Batu";"319246";"530";"Februari 2020"
"Kota Blitar";"103895";"55";"Februari 2020"
"Kota Kediri";"13477";"46";"Februari 2020"
"Kota Madiun";"22707";"281";"Februari 2020"
"Kota Malang";"217858";"2724";"Februari 2020"
"Kota Mojokerto";"20581";"196";"Februari 2020"
"Kota Pasuruan";"35742";"492";"Februari 2020"
"Kota Probolinggo";"76830";"522";"Februari 2020"
"Kota Surabaya";"685751";"18254";"Februari 2020"
"Bangkalan";"42530";"0";"Maret 2020"
"Banyuwangi";"192598";"437";"Maret 2020"
"Blitar";"85094";"12";"Maret 2020"
"Bojonegoro";"16254";"21";"Maret 2020"
"Bondowoso";"11995";"158";"Maret 2020"
"Gresik";"0";"7";"Maret 2020"
"Jember";"0";"0";"Maret 2020"
"Jombang";"80834";"66";"Maret 2020"
"Kediri";"113511";"0";"Maret 2020"
"Lamongan";"119776";"233";"Maret 2020"
"Lumajang";"54735";"17";"Maret 2020"
"Madiun";"11942";"0";"Maret 2020"
"Magetan";"26652";"0";"Maret 2020"
"Malang";"27089";"1304";"Maret 2020"
"Mojokerto";"45217";"0";"Maret 2020"
"Nganjuk";"10227";"0";"Maret 2020"
"Ngawi";"20920";"0";"Maret 2020"
"Pacitan";"55053";"0";"Maret 2020"
"Pamekasan";"1500";"1";"Maret 2020"
"Pasuruan";"173324";"188";"Maret 2020"
"Ponorogo";"21062";"4";"Maret 2020"
"Probolinggo";"22019.62";"91";"Maret 2020"
"Sampang";"2582";"0";"Maret 2020"
"Sidoarjo";"86115";"965";"Maret 2020"
"Situbondo";"16545";"0";"Maret 2020"
"Sumenep";"282";"0";"Maret 2020"
"Trenggalek";"23338";"0";"Maret 2020"
"Tuban";"313198";"13";"Maret 2020"
"Tulungagung";"152";"14";"Maret 2020"
"Kota Batu";"170788";"177";"Maret 2020"
"Kota Blitar";"61239";"15";"Maret 2020"
"Kota Kediri";"0";"0";"Maret 2020"
"Kota Madiun";"10195";"145";"Maret 2020"
"Kota Malang";"102634";"1306";"Maret 2020"
"Kota Mojokerto";"12958";"244";"Maret 2020"
"Kota Pasuruan";"1238";"554";"Maret 2020"
"Kota Probolinggo";"43932";"151";"Maret 2020"
"Kota Surabaya";"414033";"10334";"Maret 2020"
"Bangkalan";"0";"0";"April 2020"
"Banyuwangi";"1000";"0";"April 2020"
"Blitar";"24980";"0";"April 2020"
"Bojonegoro";"684";"0";"April 2020"
"Bondowoso";"0";"0";"April 2020"
"Gresik";"0";"4";"April 2020"
"Jember";"0";"2";"April 2020"
"Jombang";"0";"0";"April 2020"
"Kediri";"0";"0";"April 2020"
"Lamongan";"1341";"54";"April 2020"
"Lumajang";"0";"0";"April 2020"
"Madiun";"300";"0";"April 2020"
"Magetan";"0";"0";"April 2020"
"Malang";"0";"106";"April 2020"
"Mojokerto";"0";"0";"April 2020"
"Nganjuk";"0";"0";"April 2020"
"Ngawi";"0";"0";"April 2020"
"Pacitan";"0";"0";"April 2020"
"Pamekasan";"0";"0";"April 2020"
"Pasuruan";"95";"84";"April 2020"
"Ponorogo";"0";"1";"April 2020"
"Probolinggo";"2645";"0";"April 2020"
"Sampang";"101";"0";"April 2020"
"Sidoarjo";"0";"0";"April 2020"
"Situbondo";"0";"0";"April 2020"
"Sumenep";"0";"0";"April 2020"
"Trenggalek";"0";"0";"April 2020"
"Tuban";"0";"2";"April 2020"
"Tulungagung";"0";"6";"April 2020"
"Kota Batu";"0";"0";"April 2020"
"Kota Blitar";"65";"10";"April 2020"
"Kota Kediri";"0";"0";"April 2020"
"Kota Madiun";"2842";"2";"April 2020"
"Kota Malang";"8786";"106";"April 2020"
"Kota Mojokerto";"0";"98";"April 2020"
"Kota Pasuruan";"1032";"348";"April 2020"
"Kota Probolinggo";"849";"26";"April 2020"
"Kota Surabaya";"92321";"3865";"April 2020"
"";"";"";"April 2020"
"Bangkalan";"0";"4";"Mei 2020"
"Banyuwangi";"1200";"123";"Mei 2020"
"Blitar";"17165";"0";"Mei 2020"
"Bojonegoro";"331";"0";"Mei 2020"
"Bondowoso";"0";"0";"Mei 2020"
"Gresik";"0";"0";"Mei 2020"
"Jember";"0";"0";"Mei 2020"
"Jombang";"0";"0";"Mei 2020"
"Kediri";"0";"0";"Mei 2020"
"Lamongan";"0";"31";"Mei 2020"
"Lumajang";"0";"2";"Mei 2020"
"Madiun";"245";"0";"Mei 2020"
"Magetan";"0";"0";"Mei 2020"
"Malang";"0";"50";"Mei 2020"
"Mojokerto";"0";"0";"Mei 2020"
"Nganjuk";"0";"0";"Mei 2020"
"Ngawi";"0";"0";"Mei 2020"
"Pacitan";"0";"0";"Mei 2020"
"Pamekasan";"0";"0";"Mei 2020"
"Pasuruan";"0";"3";"Mei 2020"
"Ponorogo";"0";"0";"Mei 2020"
"Probolinggo";"1008";"0";"Mei 2020"
"Sampang";"87";"0";"Mei 2020"
"Sidoarjo";"0";"0";"Mei 2020"
"Situbondo";"0";"0";"Mei 2020"
"Sumenep";"0";"0";"Mei 2020"
"Trenggalek";"0";"0";"Mei 2020"
"Tuban";"0";"7";"Mei 2020"
"Tulungagung";"0";"0";"Mei 2020"
"Kota Batu";"0";"0";"Mei 2020"
"Kota Blitar";"53";"2";"Mei 2020"
"Kota Kediri";"0";"0";"Mei 2020"
"Kota Madiun";"2891";"0";"Mei 2020"
"Kota Malang";"5258";"48";"Mei 2020"
"Kota Mojokerto";"0";"60";"Mei 2020"
"Kota Pasuruan";"651";"0";"Mei 2020"
"Kota Probolinggo";"770";"2";"Mei 2020"
"Kota Surabaya";"80224";"2766";"Mei 2020"
"Bangkalan";"0";"8";"Juni 2020"
"Banyuwangi";"36752";"165";"Juni 2020"
"Blitar";"44585";"0";"Juni 2020"
"Bojonegoro";"245";"0";"Juni 2020"
"Bondowoso";"0";"0";"Juni 2020"
"Gresik";"32102";"0";"Juni 2020"
"Jember";"0";"0";"Juni 2020"
"Jombang";"0";"1";"Juni 2020"
"Kediri";"27913";"0";"Juni 2020"
"Lamongan";"0";"48";"Juni 2020"
"Lumajang";"441";"0";"Juni 2020"
"Madiun";"541";"0";"Juni 2020"
"Magetan";"48765";"0";"Juni 2020"
"Malang";"0";"128";"Juni 2020"
"Mojokerto";"0";"0";"Juni 2020"
"Nganjuk";"0";"0";"Juni 2020"
"Ngawi";"0";"0";"Juni 2020"
"Pacitan";"0";"0";"Juni 2020"
"Pamekasan";"0";"0";"Juni 2020"
"Pasuruan";"4096";"0";"Juni 2020"
"Ponorogo";"29295";"0";"Juni 2020"
"Probolinggo";"15611";"0";"Juni 2020"
"Sampang";"95";"0";"Juni 2020"
"Sidoarjo";"0";"0";"Juni 2020"
"Situbondo";"0";"0";"Juni 2020"
"Sumenep";"0";"0";"Juni 2020"
"Trenggalek";"0";"0";"Juni 2020"
"Tuban";"567";"0";"Juni 2020"
"Tulungagung";"13815";"0";"Juni 2020"
"Kota Batu";"3664";"0";"Juni 2020"
"Kota Blitar";"1788";"2";"Juni 2020"
"Kota Kediri";"0";"0";"Juni 2020"
"Kota Madiun";"8211";"0";"Juni 2020"
"Kota Malang";"21391";"218";"Juni 2020"
"Kota Mojokerto";"0";"0";"Juni 2020"
"Kota Pasuruan";"1232";"463";"Juni 2020"
"Kota Probolinggo";"4433";"1";"Juni 2020"
"Kota Surabaya";"81270";"2588";"Juni 2020"
"";"";"";"Juni 2020"
"Bangkalan";"1364";"0";"Juli 2020"
"Banyuwangi";"177808";"172";"Juli 2020"
"Blitar";"64635";"0";"Juli 2020"
"Bojonegoro";"1297";"0";"Juli 2020"
"Bondowoso";"15948";"0";"Juli 2020"
"Gresik";"63780";"0";"Juli 2020"
"Jember";"0";"0";"Juli 2020"
"Jombang";"1141";"1";"Juli 2020"
"Kediri";"3472";"0";"Juli 2020"
"Lamongan";"30324";"47";"Juli 2020"
"Lumajang";"6240";"0";"Juli 2020"
"Madiun";"5806";"0";"Juli 2020"
"Magetan";"59609";"0";"Juli 2020"
"Malang";"57865";"103";"Juli 2020"
"Mojokerto";"69012";"0";"Juli 2020"
"Nganjuk";"0";"0";"Juli 2020"
"Ngawi";"0";"0";"Juli 2020"
"Pacitan";"6716";"0";"Juli 2020"
"Pamekasan";"4154";"0";"Juli 2020"
"Pasuruan";"11284";"0";"Juli 2020"
"Ponorogo";"29814";"0";"Juli 2020"
"Probolinggo";"33052";"0";"Juli 2020"
"Sampang";"3249";"0";"Juli 2020"
"Sidoarjo";"31774";"1";"Juli 2020"
"Situbondo";"0";"0";"Juli 2020"
"Sumenep";"0";"0";"Juli 2020"
"Trenggalek";"19130";"0";"Juli 2020"
"Tuban";"20815";"1";"Juli 2020"
